Komentar,Kategori,Preprocessed Text,Sentiment
 berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri  biar musik indonesia lebih berwarna ,Non-bullying,berharap menghadirkan musisi dgn genre dr yg industri biar musik indonesia berwarna,non-bulliying
 congrats kak isyan semoga semua impian impian baiknya segera bisa terwujud aamiin ,Non-bullying,congrats kak isyan semoga impian impian baiknya terwujud aamiin,non-bulliying
 bener bener idola  dr musisi yang dipandang sebelah mata sampe buat label musik sendiri  congrats syan ,Non-bullying,bener bener idola dr musisi dipandang sebelah mata sampe label musik congrats syan,non-bulliying
 congrats kak isyan semoga karya nya apa yg dilakukan kakak sukses teruss ,Non-bullying,congrats kak isyan semoga karya nya yg kakak sukses teruss,non-bulliying
 orang ini terlihat sangat sangat stres dan gila ,Bullying,orang stres gila,non-bulliying
 gua kalai jadi tuhan gaakan gua jadiin dia ini manusia  lebih pante ga hidup ini orang di dunia  akhlaknya gaada tolol bangsat ,Bullying,gua kalai tuhan gaakan gua jadiin manusia pante ga hidup orang dunia akhlaknya gaada tolol bangsat,bulliying
 biasa nya aq nangis kalo lagu nya seiihh  kalo sekarang nangis karna saking bagus nya lagu nya ,Non-bullying,nya aq nangis kalo lagu nya seiihh kalo nangis karna saking bagus nya lagu nya,non-bulliying
 definisi minat ketemu bakat ketemu kerja keras ,Non-bullying,definisi minat ketemu bakat ketemu kerja keras,non-bulliying
  vnagstn astaga si isyana keren banget ini  bisa ada musisi lokal yang selera musiknya kayak gini ,Non-bullying,vnagstn astaga si isyana keren banget musisi lokal selera musiknya kayak gini,non-bulliying
 mashaallah  udh cantik  pinter  jago nyanyi dn mainin alat musik pula neng  isyanasarasvati ngefans bener ini mah ,Non-bullying,mashaallah udh cantik pinter jago nyanyi dn mainin alat musik neng isyanasarasvati ngefans bener mah,non-bulliying
 gilaaaa   gila   gilaaaa tangan  kaki  ekspresi  n emosi tertuang adi suatu karya yg fantastis ,Non-bullying,gilaaaa gila gilaaaa tangan kaki ekspresi n emosi tertuang adi karya yg fantastis,non-bulliying
 gosh  tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda  merinding gila  kaya kepribadiannya jadi serius bangett ,Non-bullying,gosh kali lihat isyana mainin alat musik kaya lihat jiwanya beda merinding gila kaya kepribadiannya serius bangett,non-bulliying
 sumpah demi allah bagus bangett kereennn merinding ak nya   dengerin sampe abis tiba  aja ampe netesin air mata ,Non-bullying,sumpah allah bagus bangett kereennn merinding ak nya dengerin sampe abis aja ampe netesin air mata,non-bulliying
 aku memutuskan untuk menjadi fans isyana  gila keren banget ya  otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki  di waktu bersamaan ,Non-bullying,memutuskan fans isyana gila keren banget ya otak berdua berfungsi dg menjalankan perintah tangan kaki bersamaan,non-bulliying
 amzing isyanaa   jujur aku amazed banget dengan skill dan minat isyana dalam bermusik  ga cuma bernyanyi tapi main alat musik pun jago banget ,Non-bullying,amzing isyanaa jujur amazed banget skill minat isyana bermusik ga bernyanyi main alat musik jago banget,non-bulliying
 paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri ,Non-bullying,ngiri liat orang keren maen alat musik dalem banget nikmatin permainan,non-bulliying
 sampe ga bisa berkata  lagi buat isyana  sangat  sempurna org ini ,Non-bullying,sampe ga isyana sempurna org,non-bulliying
 inimah bukan main alat musik lagi  olahraga jari dan kaki ini mah ,Non-bullying,inimah main alat musik olahraga jari kaki mah,non-bulliying
